,resultado,edad,cuenta
0,Altamente Sugestiva a Malignidad,26,2
1,Altamente Sugestiva a Malignidad,28,2
2,Altamente Sugestiva a Malignidad,29,1
3,Altamente Sugestiva a Malignidad,30,5
4,Altamente Sugestiva a Malignidad,31,6
5,Altamente Sugestiva a Malignidad,32,4
6,Altamente Sugestiva a Malignidad,33,7
7,Altamente Sugestiva a Malignidad,34,7
8,Altamente Sugestiva a Malignidad,35,7
9,Altamente Sugestiva a Malignidad,36,7
10,Altamente Sugestiva a Malignidad,37,6
11,Altamente Sugestiva a Malignidad,38,10
12,Altamente Sugestiva a Malignidad,39,16
13,Altamente Sugestiva a Malignidad,40,24
14,Altamente Sugestiva a Malignidad,41,32
15,Altamente Sugestiva a Malignidad,42,37
16,Altamente Sugestiva a Malignidad,43,53
17,Altamente Sugestiva a Malignidad,44,49
18,Altamente Sugestiva a Malignidad,45,37
19,Altamente Sugestiva a Malignidad,46,49
20,Altamente Sugestiva a Malignidad,47,57
21,Altamente Sugestiva a Malignidad,48,55
22,Altamente Sugestiva a Malignidad,49,58
23,Altamente Sugestiva a Malignidad,50,41
24,Altamente Sugestiva a Malignidad,51,46
25,Altamente Sugestiva a Malignidad,52,42
26,Altamente Sugestiva a Malignidad,53,50
27,Altamente Sugestiva a Malignidad,54,43
28,Altamente Sugestiva a Malignidad,55,47
29,Altamente Sugestiva a Malignidad,56,50
30,Altamente Sugestiva a Malignidad,57,56
31,Altamente Sugestiva a Malignidad,58,46
32,Altamente Sugestiva a Malignidad,59,43
33,Altamente Sugestiva a Malignidad,60,43
34,Altamente Sugestiva a Malignidad,61,42
35,Altamente Sugestiva a Malignidad,62,40
36,Altamente Sugestiva a Malignidad,63,48
37,Altamente Sugestiva a Malignidad,64,29
38,Altamente Sugestiva a Malignidad,65,32
39,Altamente Sugestiva a Malignidad,66,33
40,Altamente Sugestiva a Malignidad,67,31
41,Altamente Sugestiva a Malignidad,68,23
42,Altamente Sugestiva a Malignidad,69,15
43,Anormalidad Sospechosa,25,1
44,Anormalidad Sospechosa,26,1
45,Anormalidad Sospechosa,27,1
46,Anormalidad Sospechosa,29,7
47,Anormalidad Sospechosa,30,6
48,Anormalidad Sospechosa,31,2
49,Anormalidad Sospechosa,32,5
50,Anormalidad Sospechosa,33,3
51,Anormalidad Sospechosa,34,8
52,Anormalidad Sospechosa,35,6
53,Anormalidad Sospechosa,36,17
54,Anormalidad Sospechosa,37,13
55,Anormalidad Sospechosa,38,12
56,Anormalidad Sospechosa,39,15
57,Anormalidad Sospechosa,40,127
58,Anormalidad Sospechosa,41,132
59,Anormalidad Sospechosa,42,174
60,Anormalidad Sospechosa,43,178
61,Anormalidad Sospechosa,44,189
62,Anormalidad Sospechosa,45,167
63,Anormalidad Sospechosa,46,157
64,Anormalidad Sospechosa,47,149
65,Anormalidad Sospechosa,48,140
66,Anormalidad Sospechosa,49,161
67,Anormalidad Sospechosa,50,169
68,Anormalidad Sospechosa,51,154
69,Anormalidad Sospechosa,52,148
70,Anormalidad Sospechosa,53,143
71,Anormalidad Sospechosa,54,112
72,Anormalidad Sospechosa,55,108
73,Anormalidad Sospechosa,56,105
74,Anormalidad Sospechosa,57,107
75,Anormalidad Sospechosa,58,85
76,Anormalidad Sospechosa,59,94
77,Anormalidad Sospechosa,60,91
78,Anormalidad Sospechosa,61,77
79,Anormalidad Sospechosa,62,77
80,Anormalidad Sospechosa,63,73
81,Anormalidad Sospechosa,64,58
82,Anormalidad Sospechosa,65,63
83,Anormalidad Sospechosa,66,47
84,Anormalidad Sospechosa,67,43
85,Anormalidad Sospechosa,68,33
86,Anormalidad Sospechosa,69,36
87,Baja Sospecha de Malignidad,26,1
88,Baja Sospecha de Malignidad,29,1
89,Baja Sospecha de Malignidad,32,1
