,resultado,edad,count
0,Altamente Sugestiva a Malignidad,25,6
1,Altamente Sugestiva a Malignidad,26,3
2,Altamente Sugestiva a Malignidad,28,3
3,Altamente Sugestiva a Malignidad,29,3
4,Altamente Sugestiva a Malignidad,30,5
5,Altamente Sugestiva a Malignidad,31,5
6,Altamente Sugestiva a Malignidad,32,4
7,Altamente Sugestiva a Malignidad,33,14
8,Altamente Sugestiva a Malignidad,34,14
9,Altamente Sugestiva a Malignidad,35,18
10,Altamente Sugestiva a Malignidad,36,21
11,Altamente Sugestiva a Malignidad,37,28
12,Altamente Sugestiva a Malignidad,38,37
13,Altamente Sugestiva a Malignidad,39,42
14,Altamente Sugestiva a Malignidad,40,102
15,Altamente Sugestiva a Malignidad,41,131
16,Altamente Sugestiva a Malignidad,42,151
17,Altamente Sugestiva a Malignidad,43,122
18,Altamente Sugestiva a Malignidad,44,109
19,Altamente Sugestiva a Malignidad,45,118
20,Altamente Sugestiva a Malignidad,46,108
21,Altamente Sugestiva a Malignidad,47,118
22,Altamente Sugestiva a Malignidad,48,134
23,Altamente Sugestiva a Malignidad,49,129
24,Altamente Sugestiva a Malignidad,50,105
25,Altamente Sugestiva a Malignidad,51,140
26,Altamente Sugestiva a Malignidad,52,104
27,Altamente Sugestiva a Malignidad,53,122
28,Altamente Sugestiva a Malignidad,54,103
29,Altamente Sugestiva a Malignidad,55,89
30,Altamente Sugestiva a Malignidad,56,84
31,Altamente Sugestiva a Malignidad,57,101
32,Altamente Sugestiva a Malignidad,58,98
33,Altamente Sugestiva a Malignidad,59,58
34,Altamente Sugestiva a Malignidad,60,82
35,Altamente Sugestiva a Malignidad,61,72
36,Altamente Sugestiva a Malignidad,62,54
37,Altamente Sugestiva a Malignidad,63,58
38,Altamente Sugestiva a Malignidad,64,51
39,Altamente Sugestiva a Malignidad,65,49
40,Altamente Sugestiva a Malignidad,66,46
41,Altamente Sugestiva a Malignidad,67,50
42,Altamente Sugestiva a Malignidad,68,40
43,Altamente Sugestiva a Malignidad,69,35
44,Anormalidad Sospechosa,25,6
