,estado,< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,incidencia
0,Campeche,0.0,0.0,0.0,2.53,0.0,2.4,50.81,243.18,272.2,280.41,202.53,91.75
1,Aguascalientes,0.0,0.0,0.0,0.0,0.0,9.4,36.25,194.82,202.9,220.61,178.38,74.71
2,Jalisco,0.0,0.0,0.0,0.56,0.27,5.35,38.21,103.95,113.34,139.61,82.7,49.08
3,Veracruz,0.0,0.0,0.0,0.0,0.0,3.38,39.13,96.22,124.04,118.66,132.23,48.38
4,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,4.03,29.18,85.03,133.8,100.21,84.33,42.47
5,Yucatán,0.0,0.0,0.0,0.0,1.47,0.0,23.26,83.37,86.92,75.38,57.56,32.66
6,Chihuahua,0.0,0.0,0.0,0.0,0.28,1.42,23.14,86.29,71.28,113.16,54.67,31.73
7,Durango,0.0,0.0,0.0,0.0,0.0,1.27,14.27,85.22,83.39,107.9,83.08,31.19
8,Sinaloa,0.0,0.0,0.0,0.75,0.75,0.79,19.68,65.15,83.62,98.27,60.9,30.49
9,Colima,0.0,0.0,0.0,0.0,0.88,1.38,16.46,47.31,77.01,68.08,54.85,30.48
10,Morelos,0.0,0.0,0.0,0.0,0.6,1.9,16.45,42.39,85.71,97.75,47.86,26.84
11,Baja California,0.0,0.0,0.0,0.0,0.0,4.21,19.03,49.62,61.34,74.82,55.47,25.8
12,Michoacán,0.0,0.0,0.0,0.0,1.07,0.0,15.3,65.85,64.82,75.14,58.96,24.05
13,Ciudad de México,0.0,0.0,0.0,0.0,0.0,5.17,10.12,72.31,57.27,61.01,74.86,23.77
14,Baja California Sur,0.0,0.0,0.0,0.07,0.38,1.88,14.3,51.98,58.88,68.47,48.04,22.56
15,Nuevo León,0.0,0.0,0.0,0.0,0.0,1.44,9.75,46.79,62.49,90.24,36.68,21.77
16,TOTAL GLOBAL,0.0,0.0,0.0,0.0,0.0,0.93,13.91,62.19,51.53,49.15,47.29,20.99
17,Sonora,0.0,0.0,0.0,0.0,0.69,4.01,9.41,65.17,55.71,61.5,48.56,20.24
18,Tamaulipas,0.0,0.0,0.0,0.0,0.65,2.69,11.94,39.98,44.21,42.44,41.21,18.05
19,Nayarit,0.0,0.0,0.0,0.0,0.0,2.76,9.56,40.02,60.56,87.54,67.3,17.91
20,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.65,9.19,29.96,41.45,37.17,40.41,14.26
21,Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,8.14,37.61,33.24,55.64,27.6,14.07
22,Oaxaca,0.0,0.0,0.0,0.0,0.0,1.57,10.66,21.97,37.26,54.27,25.37,14.02
23,Chiapas,0.0,0.0,0.0,0.0,0.0,3.07,15.12,9.43,23.08,51.13,11.08,11.81
24,Guanajuato,0.0,0.0,0.0,0.0,1.17,2.32,6.79,23.41,28.52,32.78,25.99,11.66
25,Querétaro,0.0,0.0,0.0,0.0,1.33,1.41,9.83,13.36,32.58,46.34,19.32,11.62
26,Tabasco,0.0,0.0,0.0,0.0,0.0,1.57,8.24,24.7,25.59,32.57,23.03,9.53
27,Puebla,0.0,0.0,0.0,0.0,0.0,0.0,6.55,16.27,22.19,44.43,24.14,9.27
28,Zacatecas,0.0,0.0,0.0,0.0,0.5,0.0,5.72,23.64,28.92,16.66,15.65,8.83
29,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,5.81,24.63,26.61,17.95,19.01,8.67
30,Hidalgo,0.0,0.0,0.0,0.0,0.0,0.27,4.84,21.95,18.46,31.52,22.43,8.46
31,México,0.0,0.0,0.0,0.0,3.7,0.0,4.44,11.96,21.0,20.87,13.41,7.12
32,Guerrero,0.0,0.0,0.0,0.0,1.6,1.17,5.45,14.06,15.03,20.56,13.25,6.54
