,estado,< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,incidencia
0,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,65.61,650.08,285.07,216.03,310.86,134.35
1,Aguascalientes,0.0,0.0,0.0,6.4,0.0,0.0,37.47,108.73,194.1,264.23,164.84,70.16
2,Jalisco,0.0,0.0,0.0,0.0,0.0,2.38,26.92,158.31,118.06,199.46,111.55,51.32
3,Veracruz,0.0,0.0,0.0,0.0,3.62,3.74,36.58,88.45,107.9,120.03,82.47,45.58
4,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,1.06,32.95,87.77,119.76,122.38,96.49,43.7
5,Yucatán,0.0,0.0,0.0,0.0,0.0,1.86,23.97,80.71,75.35,86.61,77.34,33.57
6,Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,12.65,38.49,113.0,107.74,122.77,31.49
7,Durango,0.0,0.0,0.0,0.0,0.64,1.26,17.77,65.33,84.22,106.02,80.22,31.11
8,Sinaloa,0.0,0.0,0.0,0.0,0.74,0.77,21.22,76.79,63.23,87.74,66.93,30.93
9,Colima,0.0,0.0,0.0,0.75,0.0,2.32,16.09,86.23,85.62,80.51,56.33,30.86
10,Morelos,0.0,0.0,0.0,0.0,1.4,2.54,22.57,67.55,64.38,104.32,56.85,30.29
11,Baja California,0.0,0.0,0.0,0.62,0.0,2.57,15.57,52.94,58.0,81.92,61.65,30.16
12,Michoacán,0.0,0.0,0.0,0.28,0.0,2.8,15.5,51.51,66.38,74.97,66.25,27.78
13,Ciudad de México,0.0,0.0,0.0,0.0,0.0,1.24,18.48,44.94,82.96,65.22,55.48,26.59
14,Baja California Sur,0.0,0.0,0.0,0.0,1.02,1.59,18.93,66.16,60.72,82.7,39.58,25.21
15,Nuevo León,0.0,0.0,0.0,0.0,0.0,0.0,15.83,49.58,70.59,66.89,49.94,24.31
16,TOTAL GLOBAL,0.0,0.0,0.0,0.0,0.0,10.23,8.71,74.82,50.29,85.52,66.07,24.08
17,Sonora,0.0,0.0,0.0,0.11,0.31,1.9,13.88,54.82,56.06,71.02,52.21,23.35
18,Tamaulipas,0.0,0.0,0.0,0.0,0.0,1.06,11.02,57.32,66.09,67.59,49.34,23.28
19,Nayarit,0.0,0.0,0.0,0.0,0.0,0.47,15.43,51.85,55.92,63.59,42.57,21.89
20,Quintana Roo,0.0,0.0,0.0,0.0,0.0,1.88,14.35,29.43,51.18,52.27,49.97,20.61
21,Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,9.02,59.09,59.68,113.91,48.71,19.44
22,Oaxaca,0.0,0.0,0.0,0.0,0.0,0.0,11.8,39.26,34.19,79.41,40.53,18.36
23,Chiapas,0.0,0.0,0.0,0.0,0.0,1.69,9.31,20.29,49.53,55.22,47.66,16.27
24,Guanajuato,0.0,0.0,0.0,0.0,0.0,1.4,10.04,33.86,41.52,31.36,29.34,14.64
25,Querétaro,0.0,0.0,0.0,0.0,0.77,1.59,8.43,35.54,29.07,44.68,27.3,13.67
26,Tabasco,0.0,0.0,0.0,0.0,0.0,1.15,6.3,31.87,27.84,73.67,21.89,13.48
27,Puebla,0.0,0.0,0.0,0.0,0.13,0.68,5.32,27.46,34.26,45.95,38.8,13.15
28,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.72,7.24,36.14,30.17,27.83,28.34,11.92
29,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,8.02,21.76,23.79,45.82,32.39,11.31
30,Hidalgo,0.0,0.0,0.0,0.0,0.0,1.56,5.31,27.13,19.85,27.79,15.0,8.85
31,México,0.0,0.0,0.0,0.0,0.0,1.15,2.94,10.39,14.98,19.25,8.45,4.87
32,Guerrero,0.0,0.0,0.0,0.0,0.0,1.53,3.9,7.92,12.87,8.58,7.35,4.1
